ID,Brand,Model,Year,Color,Mileage,Price,Condition
1,Mazda,Generic Model 3,2003,Blue,22932,65732,New
2,Jaguar,Generic Model 2,2003,Silver,89937,58620,New
3,Land Rover,Generic Model 2,2022,Green,36616,50574,New
4,Porsche,Generic Model 2,1997,Black,82812,35436,Used
5,Land Rover,Generic Model 3,2000,Black,184616,63880,Used
6,Porsche,Generic Model 2,1997,Blue,96785,42794,New
7,Volvo,Generic Model 3,2003,Silver,177385,58082,Used
8,Chevrolet,Generic Model 3,1997,Blue,47226,31079,Used
9,Ford,Focus,2003,Black,176272,59437,Used
10,Hyundai,Generic Model 3,2014,Silver,6153,27767,New
11,Tesla,Generic Model 2,2009,Red,11396,38296,Used
12,Lexus,Generic Model 3,1992,Silver,69360,76077,New
13,Mercedes-Benz,Generic Model 3,2001,Silver,103327,14759,New
14,Lexus,Generic Model 2,1998,Red,56308,53734,Used
15,Chevrolet,Generic Model 3,1992,Red,47196,21061,New
16,Subaru,Generic Model 2,1999,Green,132215,55023,Used
17,Volkswagen,Generic Model 1,1993,Black,132033,11982,New
18,Audi,Generic Model 3,2001,Green,32418,44143,New
19,Subaru,Generic Model 3,2016,Green,128671,12448,Used
20,Audi,Generic Model 3,2008,White,22778,60963,New
21,Hyundai,Generic Model 2,2011,Blue,108954,14327,Used
22,Honda,Odyssey,1993,Green,118369,49451,New
23,Lexus,Generic Model 1,2019,Green,121183,5430,Used
24,Audi,Generic Model 3,2004,Blue,57114,21466,New
25,Porsche,Generic Model 3,2019,Blue,87679,39938,Used
26,Land Rover,Generic Model 1,1998,Black,44748,9078,Used
27,Subaru,Generic Model 3,2000,Blue,140899,15376,Used
28,Jaguar,Generic Model 2,2019,Red,124609,28389,New
29,Land Rover,Generic Model 2,2004,Blue,196885,76883,New
30,Jeep,Generic Model 2,2004,White,101125,62818,Used
31,Jeep,Generic Model 3,1990,Black,171553,59375,Used
32,Land Rover,Generic Model 2,2012,Red,77134,15953,Used
33,Jeep,Generic Model 1,2010,Red,11783,69408,Used
34,Mercedes-Benz,Generic Model 1,2014,White,167933,14655,Used
35,Honda,Civic,2016,Blue,108181,47708,New
36,Jaguar,Generic Model 1,2006,Blue,101939,63085,New
37,Chevrolet,Generic Model 3,1996,Green,92328,60362,New
38,Land Rover,Generic Model 3,2005,Blue,172140,28426,Used
39,Ford,Focus,1994,Black,54474,43505,New
40,Jaguar,Generic Model 3,2022,Silver,181882,17168,New
41,Volvo,Generic Model 2,2005,Red,14423,43449,New
42,Mercedes-Benz,Generic Model 3,2014,Red,111223,79304,New
43,Hyundai,Generic Model 2,2011,Blue,70144,63031,Used
44,Lexus,Generic Model 2,2009,White,172687,9931,Used
45,BMW,Generic Model 2,1998,Blue,97040,65119,New
46,Nissan,Generic Model 2,2011,Blue,12066,20581,Used
47,Honda,Pilot,2000,White,132622,74174,New
48,Lexus,Generic Model 1,1998,Black,20314,23095,New
49,Subaru,Generic Model 2,2021,Red,57162,48195,New
50,Volvo,Generic Model 3,1990,Green,19812,51067,New
51,Jaguar,Generic Model 3,2010,Green,188355,19652,Used
52,Chevrolet,Generic Model 1,2012,Red,53823,63620,New
53,Audi,Generic Model 3,2016,Blue,119357,27208,Used
54,Mazda,Generic Model 3,2010,Silver,171027,73455,Used
55,Jeep,Generic Model 3,2007,Green,43896,9223,Used
56,Audi,Generic Model 2,2013,Green,25430,11739,New
57,Jaguar,Generic Model 3,1996,Red,91059,38900,New
58,Volkswagen,Generic Model 3,2015,Red,135609,10294,Used
59,Land Rover,Generic Model 3,2006,Silver,81668,22233,Used
60,Land Rover,Generic Model 3,1993,Black,84926,47422,Used
61,Kia,Generic Model 3,2007,Black,2602,72426,New
62,Hyundai,Generic Model 1,2010,Green,197685,16883,New
63,Hyundai,Generic Model 1,2013,White,184401,35827,New
64,Audi,Generic Model 3,1998,Black,176913,35470,New
65,Toyota,Tacoma,1994,Green,143274,64019,New
66,Hyundai,Generic Model 2,1995,Black,112620,26616,Used
67,Land Rover,Generic Model 1,2005,Black,67598,50238,New
68,Volkswagen,Generic Model 1,2002,Silver,109234,25788,New
69,Volvo,Generic Model 1,2019,Black,167338,70940,New
70,Lexus,Generic Model 3,2001,White,86800,56282,New
71,Ford,Focus,2003,Red,36492,56295,New
72,Volkswagen,Generic Model 2,2007,White,126341,60283,Used
73,Toyota,RAV4,2018,Blue,145610,47764,New
74,Chevrolet,Generic Model 1,1997,Silver,47157,53782,New
75,Subaru,Generic Model 1,1991,White,76629,31042,New
76,Jaguar,Generic Model 1,1992,White,119281,15107,New
77,Nissan,Generic Model 2,2000,Blue,31284,50542,New
78,Land Rover,Generic Model 3,2003,White,136990,32878,New
79,Ford,F-150,2010,Green,62429,15512,Used
80,BMW,Generic Model 2,1999,Green,150567,63735,Used
81,Mazda,Generic Model 1,2022,Blue,2998,12408,New
82,Jeep,Generic Model 3,2010,Silver,187528,33307,New
83,Hyundai,Generic Model 1,2013,Red,170123,54818,Used
84,Mercedes-Benz,Generic Model 1,2004,Green,7739,42175,New
85,Toyota,Corolla,2016,Red,2075,69536,Used
86,Toyota,RAV4,2014,White,154775,6334,New
87,Jaguar,Generic Model 3,2021,Black,147214,67567,Used
88,Tesla,Generic Model 3,2003,Red,94924,16430,Used
89,Lexus,Generic Model 3,2004,Green,21611,71571,Used
90,Hyundai,Generic Model 2,2008,Green,66418,19095,Used
91,Audi,Generic Model 2,2018,Black,49024,52631,New
92,Volkswagen,Generic Model 3,1996,Blue,184042,63928,Used
93,Jeep,Generic Model 3,1990,Blue,50730,37123,Used
94,Ford,Focus,1991,Silver,94166,64353,New
95,BMW,Generic Model 2,2021,Silver,136453,35350,New
96,Honda,Odyssey,2011,Green,40552,38678,Used
97,Volvo,Generic Model 2,2001,Black,150878,75753,Used
98,Hyundai,Generic Model 3,1991,Red,127833,17825,New
99,Toyota,Prius,1998,Silver,71082,40835,New
100,Volvo,Generic Model 1,1998,Blue,153056,25295,New
101,Mercedes-Benz,Generic Model 1,2003,Black,192212,75539,New
102,Toyota,Prius,1994,White,172357,5764,Used
103,Jeep,Generic Model 1,1996,Black,23884,23587,Used
104,Chevrolet,Generic Model 2,1999,Black,192313,70000,New
105,Ford,F-150,2021,Silver,135247,21974,Used
106,Subaru,Generic Model 2,2000,Green,162270,17839,New
